"ID","Status","Comment","Assertion"
"td-additionalExpectedResponse-missing-contentType","null","not testable with Assertion Tester","If there is no `contentType` value defined in an additional expected response object, a Consumer MUST expect that the respective response does not contain any payload."
"td-additionalExpectedResponse-noSchemaWithoutPayload","null","not testable with Assertion Tester","The `schema` of an additional expected response object MUST NOT be defined when there is no `contentType` present."
"td-binding-multiple-ops","null","not testable with Assertion Tester","When a forms entry has multiple op values, the form MUST NOT restrict the messages that can be sent by the Consumer to only one operation."
"td-bindings-correct-methods","null","not testable with Assertion Tester","Every operation MUST be unambiguously mapped to a method or message type from the standard set of the protocol identified by the URI scheme found in href or base in the Thing level."
"td-default-binding-method","null","not testable with Assertion Tester","When no method (or similar) is indicated in a form, Default Value MUST be assumed from the Protocol Binding identified in the form."
"td-default-context-expansion","null","not testable with Assertion Tester","To enable semantic processing when the TD contains items with prefixes that are not defined in the @context, a TD Processor SHOULD expand the @context by adding definitions for those prefixes according to bindings defined in the [[WOT-BINDING-REGISTRY]]."
"td-event-trigger","null","not testable with Assertion Tester","Events MAY be triggered through conditions that are not exposed as Properties."
"td-expectedResponse-defined-contentType","null","not testable with Assertion Tester","If a content type is defined in the `response` object within a form, a Consumer MUST expect a response containing a payload in the respective format, e.g., an image in the case of `image/jpeg`."
"td-expectedResponse-missing-contentType","null","not testable with Assertion Tester","If there is no `contentType` value defined in a `response` object within a form, a Consumer MUST expect that the respective response does not contain any payload."
"td-form-additional-mediatype-metadata","null","not testable with Assertion Tester","Bindings MAY have additional information that specifies representation formats in more detail than the media type alone."
"td-form-context-submission-target","null","not testable with Assertion Tester","As a Form but not just the href defines how to execute the interaction, href of multiple Forms MAY point to the same resource, where the different Forms represent different operations on that resource."
"td-form-href-relative","null","not testable with Assertion Tester","To properly build the target URI, if base is present in the Thing level, the href value MUST be resolved using the base URI."
"td-metadata-mandatory","null","not testable with Assertion Tester","Accordingly, to be considered a Thing, an instance MUST be represented by at least one available WoT Thing Description (TD)."
"td-privacy-consideration-access-control-mandatory-person","null","not testable with Assertion Tester","Things returning data or metadata (such as TDs) associated with a person SHOULD use some form of access control."
"td-privacy-consideration-min-explicit-pii","null","not testable with Assertion Tester","Storage of explicit personally identifiable information in TDs SHOULD be minimized as much as possible."
"td-rel-type-case-insensitive","null","not testable with Assertion Tester","Relation types MUST be compared as strings using case-insensitive comparison."
"td-rel-type-lowercase","null","not testable with Assertion Tester","All-lowercase URIs SHOULD be used for extension relation types."
"td-security-auth-private-data","null","not testable with Assertion Tester","Instead, authentication and authorization SHOULD be established based on separately managed Private Security Data."
"td-security-dtls-1-2","null","not testable with Assertion Tester","If DTLS 1.3 cannot be used for compatibility reasons when using DTLS, DTLS 1.2 [[RFC6347]] MAY be used."
"td-security-no-earlier-tls-or-dtls","null","not testable with Assertion Tester","Versions of protocols or security policies earlier than the current standards (including TLS/DTLS earlier than 1.2) MUST NOT be used for new development."
"td-security-no-private-security-data","null","not testable with Assertion Tester","Producers of TDs MUST ensure that no Private Security Data is included in TDs, maintaining a strict separation from Public Security Metadata."
"td-security-other-protocol","null","not testable with Assertion Tester","For protocols with integrated security or alternative security mechanisms (e.g., QUIC [[RFC9000]], OPC UA), the configuration SHOULD adhere to the current security recommendations of the relevant specification (e.g., strictly using secure OPC UA Security Policies)."
"td-security-tls-1-2","null","not testable with Assertion Tester","If TLS 1.3 cannot be used for compatibility reasons when using TLS, TLS 1.2 [[RFC5246]] MAY be used."
"td-security-tls-1-3","null","not testable with Assertion Tester","When using TLS, then at least TLS 1.3 [[RFC8446]] SHOULD be used."
"td-structured-data-schema","null","not testable with Assertion Tester","For structured media types, the Interaction Affordance SHOULD be associated with a Data Schema to provide more detailed syntactic metadata for the data exchanged, as explained in [[[#payload-bindings-dataschema]]] and [[[#sec-data-schema-vocabulary-definition]]]."
"tm-placeholder-multiple-placeholders","null","not testable with Assertion Tester","Within a single value"
"tm-placeholder-object-serialization","null","not testable with Assertion Tester","If a string-based value of a JSON name-value pair has a placeholder and the value replacement is a Map (JSON Object), it MUST be replaced by the stringified version of the Map and MUST NOT contain any whitespace character (e.g., space, tab, etc)."
"tm-placeholder-pattern","null","not testable with Assertion Tester","The string-based pattern of the placeholder MUST be defined with double curly braces to clearly distinguish the placeholder from the rest of the value content (e.g., {{ PLACEHOLDER_IDENTIFIER}})."
